count	volume	first_ref	form	gloss
1	BOM	BOM 3nephi 3:5	חׇזְקְכֶם	your strength
1	BOM	BOM 3nephi 3:10	בְּמׇנְעֲכֶם	in your retaining
1	BOM	BOM 3nephi 3:12	לְהַפְחִידוֹ	to frighten him
1	BOM	BOM 3nephi 3:14	וְחׇזְקָם	and their strength
1	BOM	BOM 3nephi 3:21	נוֹחִיל	we shall wait
1	BOM	BOM 3nephi 4:16	הַחִיצֹנִים	the outer ones
1	BOM	BOM 3nephi 4:29	וְקִשְׁרֵי	and the conspiracies of
1	BOM	BOM 3nephi 4:29	הוּפַל	was cast down
1	BOM	BOM 3nephi 5:4	אֶת־שְׁבוּיֵיהֶם	their captives
1	BOM	BOM 3nephi 6:2	אֶת־כׇּל־צֵידָתָם	all their provisions
1	BOM	BOM 3nephi 6:14	לְהִתְפָּרֵק	to break up
1	BOM	BOM 3nephi 6:15	וּלְהַגְבִּיהָם	and to inflate them
1	BOM	BOM 3nephi 6:22	עוֹרֵךְ	a lawyer of
1	BOM	BOM 3nephi 6:29	וּלְחַלֵּץ	and to rescue
1	BOM	BOM 3nephi 7:8	וְכַחֲזִירָה	and like a sow
1	BOM	BOM 3nephi 7:8	בְּרֶפֶשׁ	in mire
1	BOM	BOM 3nephi 7:13	מֵהֶשֵּׂג	from being overtaken
1	BOM	BOM 3nephi 8:2	טָעָה	erred
1	BOM	BOM 3nephi 8:6	הִרְעִיד	it shook
1	BOM	BOM 3nephi 8:15	שִׁבְרָן	their damage
1	BOM	BOM 3nephi 8:18	וּבִנְקִיקִים	and in cracks
1	BOM	BOM 3nephi 8:21	לְהַדְלִיק	to kindle
1	BOM	BOM 3nephi 8:25	וְגֵרַשְׁנוּם	and driven them out
1	BOM	BOM 3nephi 9:10	וּבְרָגְמָם	and in their stoning
1	BOM	BOM 3nephi 9:11	תִּסָּתֵרְנָה	they shall be hidden
1	BOM	BOM 3nephi 10:2	וּמִלְּיַלֵל	and from wailing
1	BOM	BOM 3nephi 10:9	מִרְעוֹד	from trembling
1	BOM	BOM 3nephi 12:26	אֶת־הַסֶּנִין	the senine
1	BOM	BOM 3nephi 12:30	אֶת־צְלָבְכֶם	your cross
1	BOM	BOM 3nephi 12:44	הַמַּלְעִיבִים	them which despitefully use
1	BOM	BOM 3nephi 13:5	וּבְהִתְפַּלֶּלְךָ	and when you pray
1	BOM	BOM 3nephi 13:6	בְּהִתְפַּלֶּלְךָ	when you pray
1	BOM	BOM 3nephi 15:19	נִבְדַּלְתֶּם	you were separated
1	BOM	BOM 3nephi 15:24	נִמְנֵיתֶם	you are numbered
1	BOM	BOM 3nephi 16:4	הַנָּפוֹץ	who shall be scattered
1	BOM	BOM 3nephi 16:7	מַעַלְכֶם	your unbelief
1	BOM	BOM 3nephi 17:8	לְרַפְּאֹתְכֶם	to heal you
1	BOM	BOM 3nephi 17:9	וּפִסְחֵיהֶם	and their lame
1	BOM	BOM 3nephi 17:10	גַּם־הַנִּרְפָּאִים	both as many as were healed
1	BOM	BOM 3nephi 18:11	וְלַנִּטְבָּלִים	and is baptized
1	BOM	BOM 3nephi 18:22	תִמְנָעוּם	forbid them not
1	BOM	BOM 3nephi 18:29	וּמְנַעְתֶּם	you shall forbid
1	BOM	BOM 3nephi 18:31	וּמְנוּיִים	and numbered
1	BOM	BOM 3nephi 19:2	גַם־מָחָר	himself again
1	BOM	BOM 3nephi 19:7	גַם־הַתַּלְמִידִים	also the disciples
1	BOM	BOM 3nephi 19:25	בְּהִתְפַּלְלָם	as they did pray
1	BOM	BOM 3nephi 21:10	יַזִּיקוּ	shall they hurt
1	BOM	BOM 3nephi 24:6	נִכְלֵיתֶם	consumed
1	BOM	BOM 3nephi 24:8	גְזַלְנוּךָ	have we robbed you
1	BOM	BOM 3nephi 25:2	וּגְדַלְתֶּם	and grow up
1	BOM	BOM 3nephi 26:1	וַיְבָאֵרָם	and expounded them
1	BOM	BOM 3nephi 26:3	תִּגֹּל	shall be rolled together
1	BOM	BOM 3nephi 26:5	מִקְבִּילִים	being on a parallel
1	BOM	BOM 3nephi 26:16	הִבִּיעוּ	they uttered
1	BOM	BOM 3nephi 26:17	כׇל־הַנִּטְבָּלִים	all who were baptized
1	BOM	BOM 3nephi 27:27	אֵיזֶה	what manner of
1	BOM	BOM 3nephi 27:29	הַשּׁוֹאֵל	he that asketh
1	BOM	BOM 3nephi 27:32	בַּהֲשִׁיבִי	even in turning
1	BOM	BOM 3nephi 28:18	וַיַּטְבִּילוּם	baptizing them
1	BOM	BOM 3nephi 28:35	נֶעֱלָב	offended
1	BOM	BOM 3nephi 29:4	וְהִשִּׂיגַתְכֶם	it shall overtake you
1	BOM	BOM 4nephi 1:1	וְגַם־קִבְּלוּ	and did also receive
1	BOM	BOM 4nephi 1:21	גַּם־אָמוֹס	also Amos
1	BOM	BOM 4nephi 1:27	הִתְיַמְּרוּ	professed
1	BOM	BOM 4nephi 1:34	הוֹבִילוּם	led them
1	BOM	BOM 4nephi 1:42	וּקְשָׁרֵי	and combinations of
1	BOM	BOM alma 1:12	גַם־בִּקַּשְׁתָּ	also have you sought
1	BOM	BOM alma 1:16	מֵהִתְפַּשֵּׁט	from spreading
1	BOM	BOM alma 1:26	לֹא־הֶחְשִׁיב	did not esteem
1	BOM	BOM alma 1:26	מִן־הַלּוֹמֵד	than the learner
1	BOM	BOM alma 3:18	בְּהָחֵלָּם	when they began
1	BOM	BOM alma 3:18	לְהַתְווֹת	to mark
1	BOM	BOM alma 4:6	וּמִשְׁיָם	and their silk
1	BOM	BOM alma 4:12	גַּבָּם	their backs
1	BOM	BOM alma 4:15	אֶת־כׇּל־פִּלְיָתָם	all their inequality
1	BOM	BOM alma 5:7	וַיְקִיצֵם	and awoke them
1	BOM	BOM alma 5:7	הוּאֲרוּ	were illuminated
1	BOM	BOM alma 5:9	וְשׁוֹאֵל	and again ask
1	BOM	BOM alma 5:9	וַתִּרְחַבְנָה	and were expanded
1	BOM	BOM alma 5:14	הֲנוֹלַדְתֶּם	have you spiritually been born
1	BOM	BOM alma 5:21	לְהִטָּהֵר	purified
1	BOM	BOM alma 5:26	חַשְׁתֶּם	you have felt
1	BOM	BOM alma 5:30	הַמַּלְעִיג	who makes a mock
1	BOM	BOM alma 5:37	הַמִּתְנַפְּחִים	you that are puffed up
1	BOM	BOM alma 5:53	לְהִתְנַפֵּחַ	be puffed up
1	BOM	BOM alma 7:6	הִתְנַשֵּׂאתֶם	you are not lifted up
1	BOM	BOM alma 7:23	לְהִתְרַצּוֹת	to be entreated
1	BOM	BOM alma 7:26	וְהַקֶּשֶׁב	and heed
1	BOM	BOM alma 8:26	וַאֲסַפְתָּנִי	and taken me in
1	BOM	BOM alma 9:1	כְּהַחֵלִּי	as I began
1	BOM	BOM alma 9:32	יַשְׁלִיכֻנִי	they might cast me
1	BOM	BOM alma 9:33	לְקַחְתֵּנִי	to take me
1	BOM	BOM alma 9:33	וּלְהַשְׁלִיכֵנִי	and cast me
1	BOM	BOM alma 10:4	רָכַשְׁתִּי	I have acquired
1	BOM	BOM alma 10:7	תַאֲכִיל	you shall feed
1	BOM	BOM alma 10:18	לְעַקֵּשׁ	to pervert
1	BOM	BOM alma 10:23	נֶחְמַלְתֶּם	you are spared
1	BOM	BOM alma 11:4	חֶשְׁבּוֹנָם	their reckoning
1	BOM	BOM alma 11:6	וְאָנְטִי	and an onti of
1	BOM	BOM alma 11:8	מִסְּנִינֵה	of a senine
1	BOM	BOM alma 11:15	הַסְּנוּם	of a senum
1	BOM	BOM alma 11:16	הַשִּׁבְלוֹן	of a shiblon
1	BOM	BOM alma 11:17	הַשִּׁבְּלוּם	of a shiblum
1	BOM	BOM alma 11:19	וְאַנְטְיוֹן	and an antion of
1	BOM	BOM alma 11:19	כִּשְׁלֹשָׁה	is as three
1	BOM	BOM alma 11:19	שִׁבְלוֹנִים	shiblons
1	BOM	BOM alma 11:21	וְזִיזְרוֹם	now Zeezrom was
1	BOM	BOM alma 11:23	תְנַסֵּנִי	tempt you me
1	BOM	BOM alma 11:25	הָאָנְטִי	the onties
1	BOM	BOM alma 11:35	וְכָאִלּוּ	as though
1	BOM	BOM alma 11:45	מִתְאַחֲדִים	uniting
1	BOM	BOM alma 12:4	וּלְרַמּוֹת	and to deceive
1	BOM	BOM alma 12:5	צֹרְרְךָ	your adversary
1	BOM	BOM alma 12:9	כַּקֶּשֶׁב	according to the heed
1	BOM	BOM alma 12:14	נָעֵז	shall we dare
1	BOM	BOM alma 12:14	לְהַסְתִּירֵנוּ	to hide us
1	BOM	BOM alma 12:20	אַנְטְיוֹנָה	that Antionah
1	BOM	BOM alma 12:23	לִמְכַזֵּב	a liar
1	BOM	BOM alma 14:6	לְהֵחָרֵשׁ	to be harrowed up
1	BOM	BOM alma 14:10	וְנוֹשִׁיעֵם	and save them
1	BOM	BOM alma 14:18	עָנוּם	answered them
1	BOM	BOM alma 14:21	בְּהֵרָשְׁעֵנוּ	when we are damned
1	BOM	BOM alma 16:11	שִׁמְמַת	the desolation of
1	BOM	BOM alma 16:21	בְּהַשִּׂיגָהּ	having got
1	BOM	BOM alma 17:6	מַסְעוֹתֵיהֶם	their journeyings
1	BOM	BOM alma 17:14	וּבִשְׁדִידָתָם	and robbing
1	BOM	BOM alma 18:16	עַל־עֶדְרֶיךָ	your flocks
1	BOM	BOM alma 18:32	מַשְׁקִיף	looketh down
1	BOM	BOM alma 18:37	וְאֶת־כׇּל־עֻנְיָם	and all their sufferings
1	BOM	BOM alma 18:37	וְאֶת־תְּלָאוֹתָם	and their travail
1	BOM	BOM alma 18:40	וּבָאֲרוֹ	and expounded
1	BOM	BOM alma 18:41	רִחַמְתָּ	you have had
1	BOM	BOM alma 19:19	לַנֶּפִיִּי	that the Nephite
1	BOM	BOM alma 19:21	בְּהָגִנּוֹ	while defending
1	BOM	BOM alma 19:29	הַמְּבֹרָךְ	the blessed
1	BOM	BOM alma 20:29	שָׁחוּק	were worn
1	BOM	BOM alma 22:17	הִשְׁתַּטַּח	even he did prostrate himself
1	BOM	BOM alma 22:28	גּוֹבֵל	bordering
1	BOM	BOM alma 24:15	נִטְמְנֵם	let us hide them away
1	BOM	BOM alma 24:16	נִקְבְּרֵם	even we will bury them
1	BOM	BOM alma 24:16	נְטַלְנוּם	used them
1	BOM	BOM alma 24:18	בְּהִשָּׁבְעָם	vouching and
1	BOM	BOM alma 24:29	הַמִּתְחַבְּרִים	those who joined
1	BOM	BOM alma 25:9	נִצּוֹדִים	are hunted
1	BOM	BOM alma 26:1	סִבָּתֵנוּ	reason have we
1	BOM	BOM alma 26:6	יִסָּחֲפוּ	neither shall they be harrowed up
1	BOM	BOM alma 26:14	וְהִתִּיר	and has loosed
1	BOM	BOM alma 26:24	בִּשְׁגִיאַת	of the incorrectness of
1	BOM	BOM alma 26:26	נוֹשִׁיעַ	we might save
1	BOM	BOM alma 26:29	וְלֻעַגְנוּ	and mocked
1	BOM	BOM alma 27:28	לְהַסִּיתָם	to be prevailed upon
1	BOM	BOM alma 28:11	נִרְקָבִים	are moldering
1	BOM	BOM alma 28:13	פְּלָיַת	the inequality of
1	BOM	BOM alma 29:4	לְהַרְגִּיז	to harrow up
1	BOM	BOM alma 29:9	וְאֶתְהַלֵּל	and I glory
1	BOM	BOM alma 29:9	יַעֲשֵׂנִי	may make me
1	BOM	BOM alma 29:16	כְּהִפָּרְדָהּ	as it were the separation of it
1	BOM	BOM alma 30:13	הַנֶּאֱסָרִים	that are bound down
1	BOM	BOM alma 30:13	תְּחַכּוּ	do you look
1	BOM	BOM alma 30:28	וְשִׁגְעוֹנוֹתֵיהֶם	and their whims
1	BOM	BOM alma 30:51	הֲתִתְוַכַּח	will you dispute
1	BOM	BOM alma 30:55	תַסִּית	you would lead away
1	BOM	BOM alma 30:59	בְּהַנְחֹת	being led by
1	BOM	BOM alma 31:13	כְּנִסְתָּם	their synagogue
1	BOM	BOM alma 31:27	מְנֻפָּחִים	puffed up
1	BOM	BOM alma 32:12	הׇגְרַשְׁכֶם	you are cast out
1	BOM	BOM alma 32:12	נִבְזִיתֶם	that you are despised
1	BOM	BOM alma 32:13	בְּהֵאָנְסוֹ	if he is compelled
1	BOM	BOM alma 32:13	וְהַמּוֹצֵא	and he that findeth
1	BOM	BOM alma 32:27	בְּגַרְגִּיר	a particle of
1	BOM	BOM alma 32:28	חֲזֵכֶם	your breasts
1	BOM	BOM alma 32:30	יִתְפַּח	swelleth
1	BOM	BOM alma 32:33	וְהִצְמִיחַ	and sprouteth
1	BOM	BOM alma 32:38	לְטִפּוּחוֹ	for its nourishment
1	BOM	BOM alma 32:38	וּתְעַקְּרוּהוּ	and you pluck it up
1	BOM	BOM alma 32:39	טִפַּחְתֶּם	nourish
1	BOM	BOM alma 32:42	בְּטַפְּחֲכֶם	in nourishing
1	BOM	BOM alma 32:43	בְּחַכּוֹתְכֶם	waiting
1	BOM	BOM alma 33:9	קְהִלּוֹתֶיךָ	your congregations
1	BOM	BOM alma 33:16	חָנַנְתָּ	you have bestowed upon
1	BOM	BOM alma 34:3	וַיַּזְהִירְכֶם	and he hath exhorted you
1	BOM	BOM alma 34:15	הַגֹּבְרִים	which overpowereth
1	BOM	BOM alma 34:29	וְנִרְמָסִים	and is trodden
1	BOM	BOM alma 34:33	תִדְחוּ	procrastinate
1	BOM	BOM alma 34:33	נֵיטִיב	improve
1	BOM	BOM alma 34:40	אֶת־הַמְגָרְשִׁים	those who do cast out
1	BOM	BOM alma 37:9	הֱשִׁיבוּם	brought them unto repentance
1	BOM	BOM alma 37:19	בַּהֲשִׁיבוֹ	in bringing back
1	BOM	BOM alma 37:30	הַנִּרְצָחִים	those whom they murdered
1	BOM	BOM alma 37:31	וּלְקִשְׁרֵי	and combinations
1	BOM	BOM alma 37:40	הַמְּחוֹגִים	the spindles
1	BOM	BOM alma 38:12	תִרְסֹן	you bridle
1	BOM	BOM alma 38:14	קָטֹנְתָּ	your unworthiness
1	BOM	BOM alma 39:4	תִצְטַדָּק	excuse
1	BOM	BOM alma 40:17	הַנֶּאֱמֶרֶת	which is spoken of
1	BOM	BOM alma 40:23	לְמִכְנָתָם	to their frame
1	BOM	BOM alma 41:8	נִשְׁתָּנִים	changing
1	BOM	BOM alma 41:9	הֵעַזְתָּ	hast risked
1	BOM	BOM alma 42:1	הַמַּדְאִיג	which doth worry
1	BOM	BOM alma 42:10	וְתַאֲוָנִיִּים	sensual
1	BOM	BOM alma 42:13	הַהֲכָנָה	the preparation
1	BOM	BOM alma 42:27	יֵאָנֵס	compelled
1	BOM	BOM alma 43:44	מִשִּׁרְיוֹנֵיהֶם	their breastplates
1	BOM	BOM alma 43:47	תָּגִנּוּ	you shall defend
1	BOM	BOM alma 43:48	חׇפְשָׁם	their freedom
1	BOM	BOM alma 43:49	וְחׇפְשָׁם	and their freedom
1	BOM	BOM alma 44:8	נָפֵר	we shall break
1	BOM	BOM alma 44:13	וַיּוֹשֵׁט	and stretched
1	BOM	BOM alma 44:18	נֶחְשָׂפִים	exposed
1	BOM	BOM alma 46:7	מֵהַקְּהִלָּה	from the church
1	BOM	BOM alma 46:7	וְגַם־כִּי	and notwithstanding that
1	BOM	BOM alma 46:8	וּלְהִתְפַּתּוֹת	and to be enticed
1	BOM	BOM alma 46:21	הִכְרִיז	he proclaimed
1	BOM	BOM alma 46:33	וַיּוּשְׁבוּ	and were taken back
1	BOM	BOM alma 46:40	צְמָחִים	plants
1	BOM	BOM alma 47:3	וּלְאָנְסָם	and compel them
1	BOM	BOM alma 47:14	יָקוּצוּ	they awoke
1	BOM	BOM alma 47:22	כִּלְכַבְּדוֹ	as if to honor him
1	BOM	BOM alma 48:3	וַיַּעֲוֵר	and blinded
1	BOM	BOM alma 48:12	וּלְשַׁלְוָתָם	and safety
1	BOM	BOM alma 48:15	וְיַזְהִירֵם	and warned them
1	BOM	BOM alma 48:17	נִרְעָשִׁים	shaken
1	BOM	BOM alma 48:24	בְּהִתְחַבְּרָם	by joining themselves
1	BOM	BOM alma 49:4	אַכְזָבָתָם	their disappointment
1	BOM	BOM alma 49:4	לְהַזִּיק	to any effect
1	BOM	BOM alma 49:9	הֲכָנָתָם	their preparations
1	BOM	BOM alma 49:18	נֶחְפַּר	had been dug
1	BOM	BOM alma 49:19	בְּהַשְׁלִיכָם	by casting
1	BOM	BOM alma 49:22	נִסְחֲפוּ	they were swept off
1	BOM	BOM alma 49:22	בְּהׇרְסָם	by pulling down
1	BOM	BOM alma 49:28	בְּהַצָּלָתָם	in delivering them
1	BOM	BOM alma 49:30	וּשְׁקִידָתָם	and diligence
1	BOM	BOM alma 50:5	וּכְכֹחָם	and their strength
1	BOM	BOM alma 50:12	הַהֲגָנָה	the defense
1	BOM	BOM alma 50:21	וְחָרְבָּנָם	and their destructions
1	BOM	BOM alma 50:23	מְאֻשֶּׁרֶת	happy
1	BOM	BOM alma 51:7	וַיֵּאָלְצוּ	were obliged
1	BOM	BOM alma 51:16	כׇּל־חׇרְבָּנָם	all their destruction
1	BOM	BOM alma 51:17	וּלְהַשְׁווֹתָם	and be leveled
1	BOM	BOM alma 51:21	הִתְגָּאוּ	who professed
1	BOM	BOM alma 51:21	לִדְרוֹרָם	for their freedom
1	BOM	BOM alma 51:22	וּמַכְנִיעָם	and subjecting them
1	BOM	BOM alma 52:13	וּלְהַסִּיט	and to draw
1	BOM	BOM alma 52:19	יַפְתּוּם	they might decoy them
1	BOM	BOM alma 52:28	יַדְבִּיקֵם	should overtake them
1	BOM	BOM alma 52:30	לְהַדְבִּיקָם	to overtake them
1	BOM	BOM alma 53:1	וַיֶּאֶנְסוּם	and did compel them
1	BOM	BOM alma 53:4	עַל־גְּדַת	upon the bank of
1	BOM	BOM alma 53:5	אֲנָסוּם	they compelled them
1	BOM	BOM alma 53:7	הֶעֱסִיק	he employed
1	BOM	BOM alma 53:11	וּכִשְׁבוּעָתָם	and according to their oath
1	BOM	BOM alma 54:19	נְפַחְתֶּם	you have breathed out
1	BOM	BOM alma 54:20	הִכָּרְתָם	their extinction
1	BOM	BOM alma 54:24	אֶת־עׇשְׁקָם	their wrongs
1	BOM	BOM alma 55:10	לְתַאֲוָתָם	their desire
1	BOM	BOM alma 55:22	וּשְׁבוּיֵיהֶם	and that their prisoners
1	BOM	BOM alma 55:27	וְהִגֵּנוּ	and defended
1	BOM	BOM alma 55:33	לִתְקֹף	to attack
1	BOM	BOM alma 56:19	מַשְׁמִידִים	destroyed
1	BOM	BOM alma 56:36	הוֹבַלְנוּ	did we lead away
1	BOM	BOM alma 56:57	וָאֶסְפְּחֵם	and joined them
1	BOM	BOM alma 57:2	נָמִיר	we would only deliver up
1	BOM	BOM alma 57:10	וְאֶת־צֵידָתָם	and their provisions
1	BOM	BOM alma 57:11	וְאֶת־שְׁבוּיֵינוּ	and our prisoners
1	BOM	BOM alma 57:13	נֶאֱנַסְנוּ	we were obliged
1	BOM	BOM alma 57:16	עַל־שְׁבוּיֵינוּ	over our prisoners
1	BOM	BOM alma 57:17	שָׁאַלְנוּם	we questioned them
1	BOM	BOM alma 58:12	וַנִּתְאַמֵּץ	and were fixed
1	BOM	BOM alma 58:13	וַנַּט	and we pitched
1	BOM	BOM alma 58:16	לְטֵאוֹמְנֶר	that Teomner
1	BOM	BOM alma 58:17	הִסְתַּתְּרָם	they had thus secreted themselves
1	BOM	BOM alma 58:19	לְהַשִּׂיגֵנוּ	to overtake us
1	BOM	BOM alma 58:22	לְהִמָּשֵׁךְ	to be led away
1	BOM	BOM alma 60:29	תִּתְעוֹרְרוּ	you do bestir yourselves
1	BOM	BOM alma 60:34	נֶאֱנָס	am constrained
1	BOM	BOM alma 60:34	מִצֵּידַתְכֶם	of your provisions
1	BOM	BOM alma 61:4	אֶת־צֵידָתֵנוּ	our provisions
1	BOM	BOM alma 61:17	בְּמַסָּעֲךָ	upon your march
1	BOM	BOM alma 62:18	וַיַּמְשִׁיכוּ	they pursued
1	BOM	BOM alma 62:35	הַמַּסָּע	the march
1	BOM	BOM alma 62:48	וְלַעֲצֹם	and to wax strong
1	BOM	BOM alma 63:11	לְשִׁבְלוֹן	that Shiblon
1	BOM	BOM alma 63:12	כׇּל־הַחֲקוּקוֹת	all the engravings
1	BOM	BOM alma 63:14	וַיְעוֹרְרוּם	and they were stirred up
1	BOM	BOM enos 1:2	אֶת־הַמַּאֲבָק	the wrestle
1	BOM	BOM enos 1:9	לְהַרְגִּישׁ	to feel
1	BOM	BOM enos 1:23	וְהַזְכִּירָם	and reminding them
1	BOM	BOM ether 1:38	יוֹבִילֵנוּ	will carry us forth
1	BOM	BOM ether 1:38	נִירָשֶׁנָּה	we may receive it
1	BOM	BOM ether 2:3	דְּבוֹרַת	a bee of
1	BOM	BOM ether 2:17	וְדָפְנֵיהֶן	and the sides thereof
1	BOM	BOM ether 2:17	מְחֻדָּדוֹת	were peaked
1	BOM	BOM ether 2:17	וְאׇרְכָּן	and the length thereof
1	BOM	BOM ether 2:17	בְּהִסָּגְרָהּ	when it was shut
1	BOM	BOM ether 2:19	נַנְהִיג	shall we steer
1	BOM	BOM ether 2:25	בְּהִבָּלְעֲכֶם	when you are swallowed up
1	BOM	BOM ether 3:3	וַתִּדְחֵנוּ	and hast driven us forth
1	BOM	BOM ether 3:13	נִפְדֵּיתָ	you are redeemed
1	BOM	BOM ether 4:8	וְהַמְּכַחֵשׁ	and he that denies
1	BOM	BOM ether 6:4	אֶל־סְפִינוֹתֵיהֶם	aboard their vessels
1	BOM	BOM ether 6:5	עַל־גַּלֵּי	upon the waves of
1	BOM	BOM ether 6:7	סְפִינוֹתֵיהֶם	their vessels
1	BOM	BOM ether 6:19	נַקְהִילָה	let us gather together
1	BOM	BOM ether 6:23	יוֹבִיל	leadeth
1	BOM	BOM ether 6:25	יֶאֶנְסֵהוּ	should constrain him
1	BOM	BOM ether 7:9	חִזְּקָם	he armed them
1	BOM	BOM ether 7:22	וַיַּרְעֵף	and did bestow
1	BOM	BOM ether 7:24	אֶת־כׇּל־הַמְגַדְּפִים	all those who did revile against
1	BOM	BOM ether 8:15	וַיַּשְׁבִּיעֵם	did administer unto them
1	BOM	BOM ether 8:23	לְקִשְׁרֵי	that combinations of
1	BOM	BOM ether 8:23	וּלְהַשְׁמָדַתְכֶם	and to your destruction
1	BOM	BOM ether 9:7	הֶאֱכִילוֹ	fed him
1	BOM	BOM ether 9:11	תָּאַב	desired
1	BOM	BOM ether 9:18	וַחֲזִירִים	and swine
1	BOM	BOM ether 9:19	פִּילִים	elephants
1	BOM	BOM ether 9:19	וְקוּרֵלוֹמִים	and cureloms
1	BOM	BOM ether 9:19	וְקוּמוֹמִים	and cumoms
1	BOM	BOM ether 9:19	וְהַקּוּרֵלוֹמִים	and the cureloms
1	BOM	BOM ether 9:19	וְהַקּוּמוֹמִים	and the cumoms
1	BOM	BOM ether 9:20	בְּהִבָּשְׁלָם	when they were ripened
1	BOM	BOM ether 10:4	לְהִתְפַּשֵּׂט	to spread
1	BOM	BOM ether 10:31	גַם־עַמְנִיגַדָּה	also Amnigaddah
1	BOM	BOM ether 10:33	וַיַּשְׁבִּיעוּ	and administered
1	BOM	BOM ether 11:1	אֶת־רִצְחֵיהֶם	their murders
1	BOM	BOM ether 12:4	לְעֹגֶן	an anchor
1	BOM	BOM ether 12:4	וּמוּצָקִים	and steadfast
1	BOM	BOM ether 12:9	וּלְהִשְׁתַּתֵּף	and be partakers
1	BOM	BOM ether 12:20	לְהַסְתִּירָהּ	to hide it
1	BOM	BOM ether 12:25	בְּשִׂימַת	because of the placing of
1	BOM	BOM ether 12:27	חֻלְשָׁה	weakness
1	BOM	BOM ether 12:31	לְתַלְמִידֶיךָ	unto your disciples
1	BOM	BOM ether 13:13	וַיִּסְתַּתֵּר	and he hid himself
1	BOM	BOM ether 13:18	בְּהִלָּחֲמָם	when they fought
1	BOM	BOM ether 13:21	הַמְּקַבֵּל	receiving
1	BOM	BOM ether 14:10	מִקִּשְׁרֵי	of the combinations of
1	BOM	BOM helaman 1:3	גַּם־הֵסִיתוּ	did also cause
1	BOM	BOM helaman 1:15	פּוֹרֵשׁ	a dissenter
1	BOM	BOM helaman 1:19	וּמַסָּעָם	and their march
1	BOM	BOM helaman 1:20	כׇּל־הַמִּתְנַגֵּד	all who did oppose
1	BOM	BOM helaman 1:29	וַיַּקְדִּימֵם	and he did head them off
1	BOM	BOM helaman 2:6	בְּהִתְחַפְּשׂוֹ	in disguise
1	BOM	BOM helaman 2:11	בְּכׇל־	in any
1	BOM	BOM helaman 3:14	וּשְׁדֵיהֶם	and their robberies
1	BOM	BOM helaman 3:14	לְהִכָּלֵל	to be contained
1	BOM	BOM helaman 3:23	הַנּוֹשָׁבִים	the inhabited
1	BOM	BOM helaman 3:35	צָמוּ	they fasted
1	BOM	BOM helaman 4:8	פּוֹרְשֵׁי	dissenters of
1	BOM	BOM helaman 4:12	עׇשְׁקָם	their oppressing
1	BOM	BOM helaman 4:12	וּבְשָׁדְדָם	and in their plundering
1	BOM	BOM helaman 4:12	וּבְכַזְּבָם	and in their lying
1	BOM	BOM helaman 4:12	וּבְגָנְבָם	and in their stealing
1	BOM	BOM helaman 4:12	וּבְנַאֲפָם	and in their committing adultery
1	BOM	BOM helaman 5:3	לְהִשָּׁלֵט	to be governed
1	BOM	BOM helaman 5:11	תְּנָאֵי	the conditions of
1	BOM	BOM helaman 6:11	אֻמָּנִים	craftsmen
1	BOM	BOM helaman 6:11	וַיְזַקְּקוּם	and they refined them
1	BOM	BOM helaman 6:13	וְטָווּ	and spun
1	BOM	BOM helaman 6:13	מִפִּשְׁתָּן	from linen
1	BOM	BOM helaman 6:17	בְּעׇשְׁרֵי	with the riches of
1	BOM	BOM helaman 6:21	וְשׁוֹדֵיהֶם	and their robberies
1	BOM	BOM helaman 6:23	בְּנִגּוּד	in opposition
1	BOM	BOM helaman 6:31	תָּפַס	he seized
1	BOM	BOM helaman 7:15	וּמִשְׁתּוֹמְמִים	and are astonished
1	BOM	BOM helaman 7:25	וְהִתְחַבַּרְתֶּם	and you joined
1	BOM	BOM helaman 7:26	הִגְבִּיהָה	did exalt
1	BOM	BOM helaman 9:2	גַם־יֶתֶר	also the remainder of
1	BOM	BOM helaman 9:14	וַנִּשְׁתּוֹמֵם	and we were astonished
1	BOM	BOM helaman 9:19	יַאֲשִׁימוּהוּ	they might condemn him
1	BOM	BOM helaman 9:20	קָשַׁרְתָּ	you made
1	BOM	BOM helaman 9:30	כְּמִשְׁתּוֹמֵם	as overwhelmed
1	BOM	BOM helaman 9:33	וְיֶחֱוַר	and shall turn pale
1	BOM	BOM helaman 12:2	וּלְאָשְׁרָם	and to their blessing
1	BOM	BOM helaman 12:2	שַׁלְוָתָם	their ease
1	BOM	BOM helaman 12:8	יִתְנוֹעֵעַ	it shall shake
1	BOM	BOM helaman 12:12	יִתְרוֹפְפוּ	they shall crumble
1	BOM	BOM helaman 12:26	דִּרְאוֹן	contempt
1	BOM	BOM helaman 13:10	הַגְּמוּרָה	the utter
1	BOM	BOM helaman 13:10	בְּהַשְׁחָתַתְכֶם	in your destruction
1	BOM	BOM helaman 13:21	וְגַם־עׇשְׁרְכֶם	and also your riches
1	BOM	BOM helaman 13:25	רוֹגְמִים	stoning
1	BOM	BOM helaman 13:26	וּתְגָרְשׁוּהוּ	and you drive him out
1	BOM	BOM helaman 13:28	וְתַלְבִּישׁוּהוּ	and you shall clothe him
1	BOM	BOM helaman 13:29	לְהוֹבִילְכֶם	to lead you
1	BOM	BOM helaman 13:32	שִׁמְמַתְכֶם	your desolation
1	BOM	BOM helaman 13:33	רָגַמְתִּי	I had stoned
1	BOM	BOM helaman 13:35	חָמְקוּ	slipped away
1	BOM	BOM helaman 13:38	אׇשְׁרְכֶם	your happiness
